location_id,location,latitude,longitude
7602,POLEWALI MANDAR,-3.3,119.16667
3502,PONOROGO,-7.93333,111.5
7204,POSO,-1.65,120.5
1810,PRINGSEWU,-5.42211,104.93454
3513,PROBOLINGGO,-7.86667,113.31667
6210,PULANG PISAU,-3.11858,113.8623
8207,PULAU MOROTAI,2.19924,128.40546
8208,PULAU TALIABU,-1.84578,124.78992
9433,PUNCAK,-4.14204,137.09702
9411,PUNCAK JAYA,-3.67241,137.43896
3303,PURBALINGGA,-7.28417,109.35028
3214,PURWAKARTA,-6.58333,107.45
3306,PURWOREJO,-7.7,109.96667
9108,RAJA AMPAT,-0.5,130
1702,REJANG LEBONG,-3.43333,102.71667
3317,REMBANG,-6.78333,111.46667
1409,ROKAN HILIR,2.16599,100.82514
1407,ROKAN HULU,0.88333,100.48333
5314,ROTE NDAO,-10.73617,123.12054
1405,S I A K,0.97453,102.01355
5320,SABU RAIJUA,-10.56286,121.78894
6101,SAMBAS,1.41667,109.33333
1217,SAMOSIR,2.64025,98.71525
3527,SAMPANG,-7.05,113.25
6105,SANGGAU,0.25472,110.45
9419,SARMI,-2.41667,139.08333
1503,SAROLANGUN,-2.3,102.65
6109,SEKADAU,0.03485,110.95066
1705,SELUMA,-3.96644,102.47429
3322,SEMARANG,-7.20667,110.44139
8106,SERAM BAGIAN BARAT,-3.1027,128.42996
8107,SERAM BAGIAN TIMUR,-3.39851,130.39166
3604,SERANG,-6.15,106
1218,SERDANG BEDAGAI,3.36667,99.03333
6208,SERUYAN,-2.33333,112.25
7314,SIDENRENG RAPPANG,-3.85,119.96667
3515,SIDOARJO,-7.45,112.7
7210,SIGI,-1.385,119.96694
1304,SIJUNJUNG,-1.1827,101.6056
5310,SIKKA,-8.66667,122.36667
1209,SIMALUNGUN,2.9,99
1101,SIMEULUE,2.61667,96.08333
7307,SINJAI,-5.21667,120.15
6107,SINTANG,-0.08333,112.08333
3512,SITUBONDO,-7.71667,114.05
3404,SLEMAN,-7.68167,110.32333
1303,SOLOK,-0.96667,100.81667
1310,SOLOK SELATAN,-1.23333,101.417
7312,SOPPENG,-4.3842,119.89
9107,SORONG,-1.16667,131.5
9106,SORONG SELATAN,-1.50495,132.28638
3314,SRAGEN,-7.41278,110.935
3213,SUBANG,-6.50833,107.7025
3202,SUKABUMI,-7.06667,106.7
6206,SUKAMARA,-2.62675,111.23681
3311,SUKOHARJO,-7.68333,110.83333
5301,SUMBA BARAT,-9.56667,119.45
5317,SUMBA BARAT DAYA,-9.56216,119.08905
5316,SUMBA TENGAH,-9.62941,119.61914
5302,SUMBA TIMUR,-9.88333,120.25
5204,SUMBAWA,-8.7439,117.3324
5207,SUMBAWA BARAT,-8.75159,116.92132
3211,SUMEDANG,-6.81667,107.98333
3529,SUMENEP,-7.11667,114.33333
9427,SUPIORI,-0.73881,135.61111
6309,TABALONG,-1.88333,115.5
5102,TABANAN,-8.43333,115.06667
7305,TAKALAR,-5.41667,119.51667
9109,TAMBRAUW,-0.60515,132.48962
6503,TANA TIDUNG,3.55,117.25
7318,TANA TORAJA,-3.0024,119.79655
6310,TANAH BUMBU,-3.45413,115.70372
1305,TANAH DATAR,-0.4555,100.5771
6301,TANAH LAUT,-3.88333,114.86667
3603,TANGERANG,-6.2,106.46667
1802,TANGGAMUS,-5.38508,104.62349
1507,TANJUNG JABUNG BARAT,-1.1544,103.24402
1506,TANJUNG JABUNG TIMUR,-1.13198,103.61755
1203,TAPANULI SELATAN,1.51667,99.25
1204,TAPANULI TENGAH,1.9,98.66667
1205,TAPANULI UTARA,2.0028,99.0707
